Bubble,0.030067
Merge,0.000153
Total,0.030231

Bubble,0.014502
Merge,0.000190
Total,0.014704

Bubble,0.019034
Merge,0.000220
Total,0.019267

Bubble,0.036082
Merge,0.000239
Total,0.036332

Bubble,0.023052
Merge,0.000108
Total,0.023171

Bubble,0.023160
Merge,0.000144
Total,0.023315

Bubble,0.018512
Merge,0.000206
Total,0.018730

Bubble,0.004513
Merge,0.000185
Total,0.004709

Bubble,0.029096
Merge,0.000318
Total,0.029427

Bubble,0.020891
Merge,0.000224
Total,0.021127

Bubble,0.026903
Merge,0.000355
Total,0.027269

Bubble,0.013265
Merge,0.000211
Total,0.013487

Bubble,0.003296
Merge,0.000111
Total,0.003425

Bubble,0.011144
Merge,0.000164
Total,0.011341

Bubble,0.008701
Merge,0.000102
Total,0.008814

