Bubble,0.009337
Merge,0.000173
Total,0.009520

Bubble,0.009806
Merge,0.017141
Total,0.026961

Bubble,0.015245
Merge,0.000237
Total,0.015494

Bubble,0.008262
Merge,0.000324
Total,0.008598

Bubble,0.009623
Merge,0.000307
Total,0.009942

Bubble,0.008879
Merge,0.000204
Total,0.009095

Bubble,0.009942
Merge,0.000196
Total,0.010150

Bubble,0.011456
Merge,0.000181
Total,0.011645

Bubble,0.010552
Merge,0.000281
Total,0.010854

Bubble,0.005134
Merge,0.000243
Total,0.005389

Bubble,0.009596
Merge,0.000267
Total,0.009876

Bubble,0.014231
Merge,0.000194
Total,0.014434

Bubble,0.007696
Merge,0.000351
Total,0.008060

Bubble,0.010465
Merge,0.000320
Total,0.010796

Bubble,0.011991
Merge,0.000206
Total,0.012207

