Bubble,0.122684
Merge,0.000956
Total,0.123654

Bubble,0.104986
Merge,0.000940
Total,0.105940

Bubble,0.120687
Merge,0.000847
Total,0.121550

Bubble,0.112319
Merge,0.000923
Total,0.113255

Bubble,0.097761
Merge,0.000855
Total,0.098630

Bubble,0.105247
Merge,0.000824
Total,0.106109

Bubble,0.109220
Merge,0.001044
Total,0.110279

Bubble,0.115961
Merge,0.000843
Total,0.116827

Bubble,0.097213
Merge,0.000855
Total,0.098084

Bubble,0.101386
Merge,0.000947
Total,0.102347

Bubble,0.144241
Merge,0.001165
Total,0.145422

Bubble,0.093542
Merge,0.000862
Total,0.094416

Bubble,0.110289
Merge,0.000914
Total,0.111215

Bubble,0.115285
Merge,0.000761
Total,0.116060

Bubble,0.113361
Merge,0.001056
Total,0.114431

