Bubble,0.004563
Merge,0.000211
Total,0.004800

Bubble,0.004649
Merge,0.000232
Total,0.004897

Bubble,0.008066
Merge,0.000247
Total,0.008323

Bubble,0.004843
Merge,0.000104
Total,0.004960

Bubble,0.003843
Merge,0.000203
Total,0.004055

Bubble,0.004778
Merge,0.000163
Total,0.004952

Bubble,0.004827
Merge,0.000137
Total,0.004975

Bubble,0.003989
Merge,0.000140
Total,0.004141

Bubble,0.005880
Merge,0.000117
Total,0.006009

Bubble,0.004163
Merge,0.000214
Total,0.004389

Bubble,0.005216
Merge,0.000258
Total,0.005488

Bubble,0.005297
Merge,0.000231
Total,0.005539

Bubble,0.005376
Merge,0.000209
Total,0.005599

Bubble,0.007191
Merge,0.000150
Total,0.007351

Bubble,0.006125
Merge,0.000225
Total,0.006361

