Bubble,0.013657
Merge,0.000153
Total,0.013822

Bubble,0.007388
Merge,0.000242
Total,0.007642

Bubble,0.007393
Merge,0.000112
Total,0.007515

Bubble,0.006436
Merge,0.000226
Total,0.006674

Bubble,0.007508
Merge,0.000150
Total,0.007667

Bubble,0.007566
Merge,0.000262
Total,0.007841

Bubble,0.006564
Merge,0.000211
Total,0.006788

Bubble,0.006556
Merge,0.000114
Total,0.006705

Bubble,0.006869
Merge,0.000200
Total,0.007081

Bubble,0.007428
Merge,0.000160
Total,0.007599

Bubble,0.013165
Merge,0.000336
Total,0.013512

Bubble,0.013101
Merge,0.000224
Total,0.013340

Bubble,0.007953
Merge,0.000204
Total,0.008169

Bubble,0.010058
Merge,0.000397
Total,0.010466

Bubble,0.007622
Merge,0.000152
Total,0.007785

