Bubble,0.526673
Merge,0.001058
Total,0.527746

Bubble,0.509347
Merge,0.000898
Total,0.510259

Bubble,0.527474
Merge,0.000890
Total,0.528378

Bubble,0.495499
Merge,0.000811
Total,0.496324

Bubble,0.512900
Merge,0.000904
Total,0.513817

Bubble,0.557575
Merge,0.000743
Total,0.558333

Bubble,0.605207
Merge,0.000874
Total,0.606094

Bubble,0.633921
Merge,0.000833
Total,0.634767

Bubble,0.489937
Merge,0.000864
Total,0.490816

Bubble,0.551675
Merge,0.000816
Total,0.552507

Bubble,0.525312
Merge,0.000855
Total,0.526180

Bubble,0.539299
Merge,0.000774
Total,0.540089

Bubble,0.590067
Merge,0.000864
Total,0.590944

Bubble,0.535824
Merge,0.000613
Total,0.536451

Bubble,0.594073
Merge,0.000838
Total,0.594929

