Bubble,0.010263
Merge,0.000455
Total,0.010732

Bubble,0.011803
Merge,0.000400
Total,0.012216

Bubble,0.009589
Merge,0.000314
Total,0.009914

Bubble,0.012636
Merge,0.000509
Total,0.013159

Bubble,0.013658
Merge,0.000316
Total,0.013986

Bubble,0.021782
Merge,0.000409
Total,0.022203

Bubble,0.011054
Merge,0.000351
Total,0.011422

Bubble,0.010068
Merge,0.000326
Total,0.010406

Bubble,0.011497
Merge,0.000901
Total,0.012420

Bubble,0.013767
Merge,0.000799
Total,0.014580

Bubble,0.007374
Merge,0.000589
Total,0.007976

Bubble,0.016718
Merge,0.000280
Total,0.017010

Bubble,0.016657
Merge,0.000298
Total,0.016971

Bubble,0.010999
Merge,0.000297
Total,0.011305

Bubble,0.012741
Merge,0.000468
Total,0.013227

